
System 2682.50 (MHz) duration 30 (sec) CPU avg. 38.04%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  3   2266325705.0  1030011458.0  2.20    6.05     6.05  
  4   1218507086.0  284916893.0   4.28    1.45     1.45  
  5   1338123932.0  287350651.0   4.66    3.55     3.55  
  6   1299389287.0  329484456.0   3.94    1.56     1.56  
  7    2431763.0      564366.0    4.31    0.01     0.01  
  8    16360799.0    2511468.0    6.51    0.02     0.02  
  9    8075566.0      842730.0    9.58    0.01     0.01  
  10  1149111601.0  453978106.0   2.53    1.39     1.39  
  11   8862345.0     1728821.0    5.13    0.02     0.02  
  12  1386634103.0  550237657.0   2.52    2.12     2.12  
  13  1274135521.0  257169723.0   4.95    3.54     3.54  
  14  581891913.0   182246196.0   3.19    0.76     0.76  
  15  1339021481.0  264912447.0   5.05    1.61     1.61  
System 2548.05 (MHz) duration 30 (sec) CPU avg. 128.34%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    6400937612.0  2850847514.0  2.25    8.37     8.37  
  1    9944795443.0  4914861756.0  2.02   19.29    19.29  
  2    9678338089.0  4659867984.0  2.08   17.73    17.73  
  3   12793258328.0  6327492182.0  2.02   16.56    16.56  
  4    5010957827.0  2462749230.0  2.03    7.24     7.24  
  5    6636315446.0  3314404025.0  2.00    8.14     8.14  
  6    8404480058.0  4234084511.0  1.98   10.29    10.29  
  7     2529153.0      735985.0    3.44    0.00     0.00  
  8     48623076.0    9213875.0    5.28    0.06     0.06  
  9     8744544.0      958480.0    9.12    0.02     0.02  
